% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:48"
% Table,Table 8 - kCu_avg_HT0_5Aa (kCu_avg_HT0_5Aa)
% Time (s),kCu_avg_HT0_5Aa (W/(m*K))
0,859.9847145743781
1.0E-5,2032.6376096206473
2.0E-5,2430.7694160807587
3.0000000000000004E-5,2691.9496325846603
4.0E-5,2886.833100594747
5.0E-5,3042.853008080054
6.000000000000001E-5,3170.443186748912
7.000000000000001E-5,3276.930897078081
8.0E-5,3367.28067182901
9.0E-5,3444.5738185265104
1.0E-4,3511.5219714446916
1.1E-4,3570.0854093606818
1.2000000000000002E-4,3621.645467106815
1.3000000000000002E-4,3667.228038873153
1.4000000000000001E-4,3707.6429292673374
1.5000000000000001E-4,3743.5539783496433
1.6E-4,3775.514924446275
1.7E-4,3803.991657963904
1.8E-4,3829.381314315062
1.9E-4,3852.019372551589
2.0E-4,3872.193291002734
2.1E-4,3890.152776082733
2.2E-4,3906.1161642414777
2.3E-4,3920.2747905804395
2.4000000000000003E-4,3932.79689205231
2.5E-4,3943.8310624269297
2.6000000000000003E-4,3953.50916328017
2.7E-4,3961.9486946077814
2.8000000000000003E-4,3969.254729414784
2.9E-4,3975.521524641193
3.0000000000000003E-4,3980.833884963137
3.1E-4,3985.2683250566843
3.2E-4,3988.8940619989926
3.3000000000000005E-4,3991.773864853602
3.4E-4,3993.9647853013144
3.5000000000000005E-4,3995.5187892117424
3.6E-4,3996.483305080025
3.7000000000000005E-4,3996.901702090453
3.8E-4,3996.8137082672874
3.9000000000000005E-4,3996.1736867799737
4.0E-4,3994.8804537199
4.1000000000000005E-4,3992.963064950591
4.2E-4,3990.492538528231
4.3000000000000004E-4,3987.528522389697
4.4E-4,3984.1055040566807
4.5000000000000004E-4,3980.257073475314
4.6E-4,3976.0152044106185
4.7000000000000004E-4,3971.4098369669878
4.8000000000000007E-4,3966.4687789587383
4.900000000000001E-4,3961.217771835916
5.0E-4,3955.6806215706074
5.1E-4,3949.879346786596
5.200000000000001E-4,3943.8343244014754
5.300000000000001E-4,3937.5644257274485
5.4E-4,3931.087141190803
5.5E-4,3924.4180933032094
5.600000000000001E-4,3917.568378925179
5.700000000000001E-4,3910.5504683508902
5.8E-4,3903.3767553515827
5.9E-4,3896.059082429215
6.000000000000001E-4,3888.60861043711
6.100000000000001E-4,3881.0358070456505
6.2E-4,3873.3504743893923
6.3E-4,3865.561788028114
6.4E-4,3857.678337638089
6.500000000000001E-4,3849.7081662636074
6.600000000000001E-4,3841.658807190567
6.7E-4,3833.5377860820413
6.8E-4,3825.3515403265787
6.900000000000001E-4,3817.106076034169
7.000000000000001E-4,3808.8071103085854
7.1E-4,3800.4600683384583
7.2E-4,3792.0700649645055
7.300000000000001E-4,3783.641904055213
7.400000000000001E-4,3775.18009199327
7.5E-4,3766.688856378062
7.6E-4,3758.1721647914405
7.700000000000001E-4,3749.633741976359
7.800000000000001E-4,3741.077085376479
7.9E-4,3732.5054793649447
8.0E-4,3723.9220084293434
8.100000000000001E-4,3715.329569463235
8.200000000000001E-4,3706.730883245703
8.300000000000001E-4,3698.1285051651175
8.4E-4,3689.5248352364215
8.500000000000001E-4,3680.9221274605875
8.600000000000001E-4,3672.3224985723828
8.700000000000001E-4,3663.7279362203176
8.8E-4,3655.1403066191137
8.900000000000001E-4,3646.561361712045
9.000000000000001E-4,3637.992745877368
9.100000000000001E-4,3629.436002210755
9.2E-4,3620.8925784128473
9.3E-4,3612.363832309132
9.400000000000001E-4,3603.8510370271683
9.500000000000001E-4,3595.355385854379
9.600000000000001E-4,3586.877996797978
9.7E-4,3578.4199168668297
9.800000000000002E-4,3569.9821260938243
9.9E-4,3561.5655413159666
0.001,3553.1710197277985
0.00101,3544.799362223357
0.00102,3536.4513165399653
