% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 12:12"
% Table,Table 1 - T_avg_HT0_5Aa (T_avg_HT0_5Aa)
% Time (s),T_avg_HT0_5Aa (K)
0,3.047484455378327
1.0E-5,6.343009352968241
2.0E-5,7.684082399403021
3.0000000000000004E-5,8.616514134643388
4.0E-5,9.352399382456955
5.0E-5,9.97506465483639
6.000000000000001E-5,10.513965833744775
7.000000000000001E-5,10.990328516967482
8.0E-5,11.418688327411065
9.0E-5,11.807340166576619
1.0E-4,12.16458547025447
1.1E-4,12.496511775382997
1.2000000000000002E-4,12.807253352412848
1.3000000000000002E-4,13.09974242914681
1.4000000000000001E-4,13.37623531107788
1.5000000000000001E-4,13.638574238878368
1.6E-4,13.888303748197036
1.7E-4,14.126730560380123
1.8E-4,14.354988545691233
1.9E-4,14.574020762599371
2.0E-4,14.784628631977693
2.1E-4,14.987513826840091
2.2E-4,15.18329839463573
2.3E-4,15.372532095062544
2.4000000000000003E-4,15.555700474199105
2.5E-4,15.733234047163402
2.6000000000000003E-4,15.921448185520221
2.7E-4,16.118807664260654
2.8000000000000003E-4,16.314468152378165
2.9E-4,16.504446861858874
3.0000000000000003E-4,16.688301341926984
3.1E-4,16.866972043486875
3.2E-4,17.04095639381748
3.3000000000000005E-4,17.2105863492371
3.4E-4,17.376124352452717
3.5000000000000005E-4,17.53779712487348
3.6E-4,17.695808355587438
3.7000000000000005E-4,17.850344122593903
3.8E-4,18.001575723013413
3.9000000000000005E-4,18.14966150614512
4.0E-4,18.294748263518507
4.1000000000000005E-4,18.436972377649553
4.2E-4,18.5764608102716
4.3000000000000004E-4,18.713331968093854
4.4E-4,18.847696468079917
4.5000000000000004E-4,18.979657817423206
4.6E-4,19.109313019937275
4.7000000000000004E-4,19.23675311844095
4.8000000000000007E-4,19.3620636811865
4.900000000000001E-4,19.485325239182487
5.0E-4,19.60661368028692
5.1E-4,19.7260006051357
5.200000000000001E-4,19.84355364928502
5.300000000000001E-4,19.95933677537036
5.4E-4,20.0734504729245
5.5E-4,20.18599310100451
5.600000000000001E-4,20.297027788627773
5.700000000000001E-4,20.406604546506085
5.8E-4,20.514767750904113
5.9E-4,20.62155871696886
6.000000000000001E-4,20.727016623739896
6.100000000000001E-4,20.831178883329315
6.2E-4,20.934081320290883
6.3E-4,21.035758283964746
6.4E-4,21.136242735138794
6.500000000000001E-4,21.235566321090566
6.600000000000001E-4,21.333759443922656
6.7E-4,21.430846005392794
6.8E-4,21.526856369139097
6.900000000000001E-4,21.621819845666373
7.000000000000001E-4,21.71576351607408
7.1E-4,21.80871269155019
7.2E-4,21.900691465347343
7.300000000000001E-4,21.991723011009682
7.400000000000001E-4,22.08182969579969
7.5E-4,22.17103311925445
7.6E-4,22.259354136123953
7.700000000000001E-4,22.34681288202605
7.800000000000001E-4,22.43342880281894
7.9E-4,22.5192206849773
8.0E-4,22.604206685069396
8.100000000000001E-4,22.688404357649464
8.200000000000001E-4,22.77183068152337
8.300000000000001E-4,22.854502084534076
8.4E-4,22.936434467014852
8.500000000000001E-4,23.017643224019647
8.600000000000001E-4,23.098143266412126
8.700000000000001E-4,23.177949040882705
8.8E-4,23.257074548954552
8.900000000000001E-4,23.335533365038255
9.000000000000001E-4,23.413338653590454
9.100000000000001E-4,23.4905031854269
9.2E-4,23.567039353241356
9.3E-4,23.642959186372707
9.400000000000001E-4,23.71827436486553
9.500000000000001E-4,23.792996232862183
9.600000000000001E-4,23.867135811363955
9.7E-4,23.94070381039689
9.800000000000002E-4,24.013710640614217
9.9E-4,24.08616642436611
0.001,24.15808100626574
0.00101,24.229463963278956
0.00102,24.300324614361575
0.00103,24.370672029670022
0.0010400000000000001,24.44051503936605
0.0010500000000000002,24.509862270638557
0.0010600000000000002,24.578722094786514
0.00107,24.647102653320054
0.00108,24.715011885935517
0.00109,24.78245754063876
0.0011,24.849447174712505
0.00111,24.915988156663293
0.0011200000000000001,24.982087671625653
0.0011300000000000001,25.04775272825727
0.0011400000000000002,25.1129901646259
0.0011500000000000002,25.17780665496539
0.00116,25.242208714749417
0.00117,25.306202704917563
0.00118,25.36979483648066
0.00119,25.432991175529107
0.0012000000000000001,25.495797648020883
0.0012100000000000001,25.55822004407542
0.0012200000000000002,25.620264021977416
0.0012300000000000002,25.68193511212752
0.00124,25.74323872094817
0.00125,25.80418013463903
0.00126,25.864764522738774
0.00127,25.924996941534573
0.00128,25.984882337364922
0.0012900000000000001,26.04442554982103
0.0013000000000000002,26.10363131483161
0.0013100000000000002,26.162504267627504
0.0013200000000000002,26.221048945597506
0.00133,26.279269791046378
0.00134,26.337171153859675
0.00135,26.394757294075482
0.00136,26.452032384365396
0.0013700000000000001,26.50900051242966
0.0013800000000000002,26.565665683311337
0.0013900000000000002,26.622031821632703
0.0014000000000000002,26.678102773756056
0.00141,26.73388230987209
0.00142,26.789374126018945
0.00143,26.844581846034394
0.00144,26.89950902344474
0.0014500000000000001,26.954159143291204
0.0014600000000000001,27.00853562389846
0.0014700000000000002,27.062641818585075
0.0014800000000000002,27.1164810173199
0.0014900000000000002,27.17005644832607
0.0015,27.22337127963375
