% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:47"
% Table,Table 5 - CvSc_avg_HT0_5Aa (CvSc_avg_HT0_5Aa)
% Time (s),CvSc_avg_HT0_5Aa (J/(m^3*K))
9.800000000000002E-4,169929.25649171363
9.9E-4,171137.50535768486
0.001,172341.6885417163
0.00101,173541.83032676872
0.00102,174737.95513138865
0.00103,175930.08748249212
0.0010400000000000001,177118.25199080704
0.0010500000000000002,178302.47383781036
0.0010600000000000002,179482.7776727647
0.00107,180659.18791333487
0.00108,181831.72909402705
0.00109,183000.4259074578
0.0011,184165.30308676025
0.00111,185326.38531000543
0.0011200000000000001,186483.69717217708
0.0011300000000000001,187637.26318999357
0.0011400000000000002,188787.10779368627
0.0011500000000000002,189933.25534028394
0.00116,191075.7301012105
0.00117,192214.55623828145
0.00118,193349.75779125575
0.00119,194481.3586769494
0.0012000000000000001,195609.38268819073
0.0012100000000000001,196733.8534880961
0.0012200000000000002,197854.79460116307
0.0012300000000000002,198972.22940854897
0.00124,200086.18114438726
0.00125,201196.67289269358
0.00126,202303.72758452772
0.00127,203407.36799356938
0.00128,204507.61673420932
0.0012900000000000001,205604.496258549
0.0013000000000000002,206698.0288549437
0.0013100000000000002,207788.23664587043
0.0013200000000000002,208875.1415866064
0.00133,209958.76546386932
0.00134,211039.12989448017
0.00135,212116.2563245666
0.00136,213190.16602932123
0.0013700000000000001,214260.88011172533
0.0013800000000000002,215328.41950280822
0.0013900000000000002,216392.80496107342
0.0014000000000000002,217454.05707277992
0.00141,218512.19625161393
0.00142,219567.24273918502
0.00143,220619.21660510646
0.00144,221668.1377477566
0.0014500000000000001,222714.02589402883
0.0014600000000000001,223756.90060075832
0.0014700000000000002,224796.7812549067
0.0014800000000000002,225833.68707442956
0.0014900000000000002,226867.6371089527
0.0015,227898.6502407172
0.00151,228926.74518581713
0.00152,229951.94049439748
0.0015300000000000001,230974.25455238708
0.0015400000000000001,231993.70558237654
0.0015500000000000002,233010.31164445498
0.0015600000000000002,234024.09063771795
0.0015700000000000002,235035.0603011381
0.00158,236043.23821503934
0.00159,237048.64180196795
0.0016,238051.28832833344
0.00161,239051.19490544105
0.0016200000000000001,240048.37849058438
0.0016300000000000002,241042.85588889156
0.0016400000000000002,242034.6437542136
0.0016500000000000002,243023.75859050194
0.0016600000000000002,244010.21675320133
0.00167,244994.03445073598
0.00168,245975.22774549216
0.00169,246953.81255565974
0.0017000000000000001,247929.80465608434
0.0017100000000000001,248903.21967987763
0.0017200000000000002,249874.073120021
0.0017300000000000002,250842.38033026736
0.0017400000000000002,251808.1565267017
0.00175,252771.41678919745
0.00176,253732.17606253026
0.00177,254690.4491580253
0.0017800000000000001,255646.25075470927
0.0017900000000000001,256599.59540068227
0.0018000000000000002,257550.49751438294
0.0018100000000000002,258498.9713861828
0.0018200000000000002,259445.03117931483
0.0018300000000000002,260388.6909314516
0.00184,261329.96455613684
0.00185,262268.86584349186
0.00186,263205.4084623648
0.0018700000000000001,264139.6059609145
0.0018800000000000002,265071.47176817193
0.0018900000000000002,266001.0191950917
0.0019000000000000002,266928.26143619657
0.0019100000000000002,267853.21157044737
0.0019200000000000003,268775.8825625674
0.00193,269696.2872645154
0.00194,270614.43841613975
0.0019500000000000001,271530.3486469146
0.0019600000000000004,272444.0304770169
0.00197,273355.49631797295
0.00198,274264.7584746156
0.00199,275171.8291460795
0.002,276076.7204260914
0.00201,276979.4443052141
0.00202,277880.01267120126
0.00203,278778.437310795
0.00204,279674.72990976286
0.00205,280568.902055531
0.00206,281460.9652362817
0.0020700000000000002,282350.93084409845
0.0020800000000000003,283238.8101741569
0.0020900000000000003,284124.6144271961
0.0021000000000000003,285008.3547095457
0.0021100000000000003,285890.042034952
0.0021200000000000004,286769.6873247139
0.0021300000000000004,287647.30140948505
0.00214,288522.89502965537
0.00215,289396.47883665544
0.00216,290268.06339385314
0.00217,291137.65917736164
0.00218,292005.2765772241
0.00219,292870.9258980137
0.0022,293734.6173600425
0.00221,294596.3611001684
0.00222,295456.16717243363
0.00223,296314.0455495771
0.0022400000000000002,297170.0061229375
0.0022500000000000003,298024.0587043924
0.0022600000000000003,298876.2130266035
0.0022700000000000003,299726.4787435043
0.0022800000000000003,300574.8654321966
0.0022900000000000004,301421.3825927767
0.0023000000000000004,302266.03964954644
0.00231,303108.84595178097
0.00232,303949.81077461806
0.00233,304788.94331978797
0.00234,305626.25271599245
0.00235,306461.74802049086
0.00236,307295.43821907917
0.00237,308127.33222699794
0.00238,308957.43889019015
0.00239,309785.7601064629
0.0024000000000000002,310612.26786429045
0.0024100000000000002,311436.9348470567
0.0024200000000000003,312259.76362087287
0.0024300000000000003,313080.76931147935
0.0024400000000000003,313899.96612683526
0.0024500000000000004,314717.3643729572
0.0024600000000000004,315532.97269105184
0.0024700000000000004,316346.8000670837
0.00248,317158.85623744136
0.00249,317969.1509751878
0.0025,318777.6939186274
0.00251,319584.49456405645
0.00252,320389.56229412626
0.00253,321192.9063970054
0.00254,321994.5361010713
0.00255,322794.460522298
0.00256,323592.68868100597
0.0025700000000000002,324389.229520427
0.0025800000000000003,325184.09191102284
0.0025900000000000003,325977.2846455093
0.0026000000000000003,326768.8164366039
0.0026100000000000003,327558.695917299
0.0026200000000000004,328346.9316421508
0.0026300000000000004,329133.5320893379
0.0026400000000000004,329918.5056620969
0.00265,330701.8606895886
0.00266,331483.6054268451
0.00267,332263.7480561379
0.00268,333042.2966882515
0.00269,333819.2593626223
0.0027,334594.6440493771
0.00271,335368.45864925423
0.00272,336140.7109947673
0.0027300000000000002,336911.4088513184
0.0027400000000000002,337680.559917526
0.0027500000000000003,338448.1718263853
0.0027600000000000003,339214.2521461538
0.0027700000000000003,339978.80838068394
0.0027800000000000004,340741.8479708953
0.0027900000000000004,341503.37829489156
0.0028000000000000004,342263.4066692537
0.0028100000000000004,343021.9403492498
0.00282,343778.9865299885
0.00283,344534.55234724586
0.00284,345288.64487736666
0.00285,346041.2711390076
0.00286,346792.43809314043
0.00287,347542.15264424105
0.00288,348290.4216400806
0.00289,349037.25187354034
0.0029000000000000002,349782.650082297
0.0029100000000000003,350526.6229501526
0.0029200000000000003,351269.17710717197
0.0029300000000000003,352010.3191304524
0.0029400000000000003,352750.05554483115
0.0029500000000000004,353488.3928234381
0.0029600000000000004,354225.3373882393
0.0029700000000000004,354960.8956106604
0.0029800000000000004,355695.07381217304
0.00299,356427.87826479395
0.003,357159.315191797
0.00301,357889.3907678911
0.00302,358618.1111202311
0.00303,359345.4823287566
0.00304,360071.5104265931
0.00305,360796.20140073774
0.0030600000000000002,361519.5611924383
0.0030700000000000002,362241.59569785575
0.0030800000000000003,362962.31076825614
0.0030900000000000003,363681.71221117605
0.0031000000000000003,364399.8057899414
0.0031100000000000004,365116.59722473106
0.0031200000000000004,365832.0921933721
0.0031300000000000004,366546.2963307293
0.0031400000000000004,367259.215230272
0.0031500000000000005,367970.8544438519
0.00316,368681.2194825501
0.00317,369390.3158166224
0.00318,370098.1488766387
0.00319,370804.72405292967
0.0032,371510.04669718683
0.00321,372214.12212173245
0.00322,372916.95560063137
0.0032300000000000002,373618.5523700223
0.0032400000000000003,374318.9176282375
0.0032500000000000003,375018.0565365264
0.0032600000000000003,375715.9742189971
0.0032700000000000003,376412.67576359236
0.0032800000000000004,377108.1662217406
0.0032900000000000004,377802.4506094749
0.0033000000000000004,378495.53390737623
0.0033100000000000004,379187.421060761
0.0033200000000000005,379878.1169805185
0.00333,380567.6265432201
0.00334,381255.9545912742
0.00335,381943.10593367694
0.00336,382629.0853456873
0.00337,383313.8975703602
0.00338,383997.54731744895
0.0033900000000000002,384680.03926463536
0.0034000000000000002,385361.3780575552
0.0034100000000000003,386041.56831017724
0.0034200000000000003,386720.61460506776
0.0034300000000000003,387398.5214939926
0.0034400000000000003,388075.29349741316
0.0034500000000000004,388750.93510583683
0.0034600000000000004,389425.4507794327
0.0034700000000000004,390098.84494835883
0.0034800000000000005,390771.12201338646
0.0034900000000000005,391442.2863458334
0.0035,392112.34228817554
0.00351,392781.29415375314
0.00352,393449.14622804965
0.00353,394115.902767841
0.00354,394781.5680022073
0.00355,395446.14613234537
0.0035600000000000002,396109.6413323154
0.0035700000000000003,396772.0577487756
0.0035800000000000003,397433.3995017729
0.0035900000000000003,398093.67068436986
0.0036000000000000003,398752.87536343193
0.0036100000000000004,399411.0175796217
0.0036200000000000004,400068.10134775325
0.0036300000000000004,400724.1306567752
0.0036400000000000004,401379.1094705809
0.0036500000000000005,402033.0417273303
0.0036600000000000005,402685.93134058797
0.00367,403337.78219909646
0.00368,403988.5981670144
0.00369,404638.38308429427
0.0037,405287.1407665753
0.00371,405934.8750059582
0.00372,406581.58957073744
0.0037300000000000002,407227.2882056167
0.0037400000000000003,407871.9746323826
0.0037500000000000003,408515.6525496271
0.0037600000000000003,409158.32563299895
0.0037700000000000003,409799.9975358182
0.0037800000000000004,410440.6718888446
0.0037900000000000004,411080.3523005002
0.0038000000000000004,411719.04235750437
0.0038100000000000005,412356.7456242914
0.0038200000000000005,412993.4656441656
0.0038300000000000005,413629.205938518
0.0038400000000000005,414263.9700078427
0.00385,414897.76133138844
0.00386,415530.58336745895
0.00387,416162.4395537272
0.00388,416793.3333073341
0.0038900000000000002,417423.2680249781
0.0039000000000000003,418052.2470832315
0.00391,418680.273838759
0.003920000000000001,419307.35162821005
0.00393,419933.48376835027
0.00394,420558.6735570828
0.00395,421182.92427231435
0.00396,421806.2391733111
0.0039700000000000004,422428.6214996632
0.00398,423050.07447279495
0.0039900000000000005,423670.6012949514
0.004,424290.20515003055
0.0040100000000000005,424908.8892033782
0.00402,425526.65660234564
0.004030000000000001,426143.51047600235
0.00404,426759.45393548824
0.004050000000000001,427374.4900742309
0.00406,427988.6219679404
0.004070000000000001,428601.8526749278
0.00408,429214.18523591605
0.004090000000000001,429825.6226746685
0.0041,430436.1679977102
0.00411,431045.8241945935
0.00412,431654.5942381608
0.00413,432262.48108467297
0.0041400000000000005,432869.48767375405
0.00415,433475.6169283784
0.0041600000000000005,434080.8717557114
0.00417,434685.25504650635
0.0041800000000000006,435288.7696755031
0.00419,435891.4185015293
0.004200000000000001,436493.20436787256
0.00421,437094.1301018076
0.004220000000000001,437694.198515571
0.00423,438293.4124055737
0.004240000000000001,438891.77455332567
0.00425,439489.28772471606
0.004260000000000001,440085.95467099396
0.00427,440681.7781285124
0.00428,441276.76081860403
0.00429,441870.9054479918
0.0043,442464.2147088092
0.0043100000000000005,443056.69127874146
0.00432,443648.33782125043
0.0043300000000000005,444239.1569854301
0.00434,444829.1514060988
0.004350000000000001,445418.32370448066
0.00436,446006.6764874251
0.004370000000000001,446594.2123481964
0.00438,447180.93386644166
0.004390000000000001,447766.8436080104
0.0044,448351.94412549294
0.004410000000000001,448936.23795756634
0.00442,449519.72763035854
0.004430000000000001,450102.41565634456
0.00444,450684.304534727
0.00445,451265.39675224054
0.00446,451845.69478238677
0.00447,452425.2010856938
0.0044800000000000005,453003.9181104861
0.00449,453581.84829199326
0.0045000000000000005,454158.9940531961
0.00451,454735.35780439834
0.004520000000000001,455310.94194386015
0.00453,455885.74885734613
0.004540000000000001,456459.78091862175
0.00455,457033.0404894282
0.004560000000000001,457605.52991916763
0.00457,458177.25154563604
0.004580000000000001,458748.207694723
0.00459,459318.40068084945
0.004600000000000001,459887.83280642616
0.00461,460456.50636247447
0.00462,461024.423628447
0.0046300000000000004,461591.5868724934
0.00464,462157.99835155247
0.0046500000000000005,462723.66031099483
0.00466,463288.57498545304
0.0046700000000000005,463852.7445982306
0.00468,464416.17136155313
0.004690000000000001,464978.8574771452
0.0047,465540.8051353506
0.004710000000000001,466102.01651608554
0.00472,466662.49378862086
0.004730000000000001,467222.2391114705
0.00474,467781.25463253603
0.004750000000000001,468339.54248927644
0.00476,468897.10480908124
0.004770000000000001,469453.9437087113
0.00478,470010.0612946449
0.00479,470565.4596633372
0.0048000000000000004,471120.1409011343
0.00481,471674.107084255
0.0048200000000000005,472227.36027891876
0.00483,472779.9025415065
0.0048400000000000006,473331.7359187168
0.00485,473882.8624471737
0.004860000000000001,474433.2841540084
0.00487,474983.00305672624
0.004880000000000001,475532.0211631566
0.00489,476080.34047169186
0.004900000000000001,476627.96297126554
0.00491,477174.8906415058
0.004920000000000001,477721.1254525183
0.00493,478266.6693653745
0.004940000000000001,478811.52433191385
0.00495,479355.69229487673
0.00496,479899.1751878117
0.0049700000000000005,480441.9749352716
0.00498,480984.09345298127
0.0049900000000000005,481525.532647773
0.005,482066.2944174867
0.005,482066.2944174867
0.01,693306.2740432849
0.015,838177.9053677152
0.02,947440.2221279849
0.025,1035090.0849282106
0.030000000000000002,1108563.0564846208
0.034999999999999996,1171945.4456946454
0.04,1227638.7722684287
0.045,1277230.9920453972
0.049999999999999996,1321870.2419762267
0.055,1362423.237998368
0.06,1399556.1292515805
0.065,1433786.9339442109
0.07,1465523.5621651316
0.07500000000000001,1495091.6425891772
0.08,1522754.5881916839
0.085,1548728.0032235277
0.09000000000000001,1573190.1392171306
0.095,1596289.6329589118
0.1,1618151.3554661241
0.10500000000000001,1638880.9185245186
0.11,1658568.2048950999
0.115,1677290.1748631739
0.12000000000000001,1695140.0719439348
0.125,1712187.6374542299
0.13,1728490.5916735688
0.135,1744099.9624427161
0.14,1759061.8651536172
0.14500000000000002,1773418.0815688947
0.15,1787206.4209501997
0.155,1800461.118869251
0.16,1813213.2490568198
0.165,1825491.104699804
0.17,1837320.531005133
0.17500000000000002,1848725.2095812159
0.18000000000000002,1859726.9403518485
0.185,1870345.763676061
0.19,1880600.1753040396
0.195,1890507.3139368747
0.2,1900083.1015812145
0.20500000000000002,1909342.3561296954
0.21000000000000002,1918298.8927594952
0.215,1926965.618184507
0.22,1935354.6160562143
0.225,1943477.2224366863
0.23,1951344.0922054711
0.23500000000000001,1958965.2579852173
0.24000000000000002,1966350.1828841534
0.245,1973507.8078629202
0.25,1980446.5943026235
0.255,1987174.562276202
0.26,1993699.3250165225
0.265,2000028.1200267163
0.27,2006167.8372191775
0.275,2012125.0444123454
0.28,2017906.010243069
0.28500000000000003,2023516.7256421258
0.29000000000000004,2028962.922965304
0.295,2034250.0931793822
0.3,2039383.5017042113
0.305,2044368.2030851336
0.31,2049209.054432019
0.315,2053910.7276491136
0.32,2058477.7206184496
0.325,2062914.3675064933
0.33,2067224.8482809293
0.335,2071413.1974823147
0.34,2075483.3123031207
0.34500000000000003,2079438.9600448238
0.35000000000000003,2083283.7850220925
0.35500000000000004,2087021.3149592283
0.36,2090654.9669229442
0.365,2094188.0528259363
0.37,2097623.7845425485
0.375,2100965.278670044
0.38,2104215.560964217
0.385,2107377.5704779127
0.39,2110454.163425787
0.395,2113448.1167980274
0.4,2116362.1317442185
0.405,2119198.836745006
0.41000000000000003,2121960.790590703
0.41500000000000004,2124650.485178691
0.42000000000000004,2127270.3481485397
0.425,2129822.7453635363
0.43,2132309.983252873
0.435,2134734.311025696
0.44,2137097.922764761
0.445,2139402.959412825
0.45,2141651.5106546087
0.455,2143845.6167079024
0.46,2145987.2700280505
0.465,2148078.416930172
0.47000000000000003,2150120.9591417806
0.47500000000000003,2152116.755283739
0.48000000000000004,2154067.6222903235
0.485,2155975.3367702966
0.49,2157841.636314897
0.495,2159668.220755155
0.5,2161456.7533743484
0.505,2163208.8620777577
0.51,2164926.140522798
0.515,2166610.149213679
0.52,2168262.416563033
0.525,2169884.4399215225
0.53,2171477.686580788
0.535,2173043.5947496435
0.54,2174583.5745069385
0.545,2176099.008731628
0.55,2177591.254015066
0.555,2179061.6415526792
0.56,2180510.692624034
0.5650000000000001,2181939.5418897695
0.5700000000000001,2183349.8389944765
0.5750000000000001,2184742.993311896
0.5800000000000001,2186120.2426523888
0.585,2187482.7471466726
0.59,2188831.6365959463
0.595,2190168.0239987513
0.6,2191493.005962797
0.605,2192807.6608335474
0.61,2194113.047711097
0.615,2195410.206426043
0.62,2196700.1580375587
0.625,2197983.905180384
0.63,2199262.4326152536
0.635,2200536.7077499977
0.64,2201807.6810711967
0.645,2203076.286534346
0.65,2204343.4419483026
0.655,2205610.049361816
0.66,2206876.9954433884
0.665,2208145.1518499544
0.67,2209415.3755856818
0.675,2210688.5093461573
0.68,2211965.3818544582
0.685,2213246.8081888985
0.6900000000000001,2214533.590101775
0.6950000000000001,2215826.516332249
0.7000000000000001,2217126.362907977
0.7050000000000001,2218433.8934400342
0.71,2219749.8594110836
0.715,2221075.0004545744
0.72,2222410.0446290565
0.725,2223755.7086847066
0.73,2225112.698322886
0.735,2226481.7084516324
0.74,2227863.4234311706
0.745,2229258.517318533
0.75,2230667.654101967
0.755,2232091.48793314
0.76,2233530.6633529896
0.765,2234985.81551099
0.77,2236457.570382234
0.775,2237946.5449780654
0.78,2239453.3475521337
0.785,2240978.577802685
0.79,2242522.827069278
0.795,2244086.6785272346
0.8,2245670.7073761616
0.805,2247275.481025334
0.81,2248901.5592755275
0.8150000000000001,2250549.4944962133
0.8200000000000001,2252219.8318008566
0.8250000000000001,2254581.51272232
0.8300000000000001,2255235.8290204788
0.8350000000000001,2255889.5676591764
0.84,2256542.756691912
0.845,2257195.3948417716
0.85,2257847.4820027393
0.855,2258499.020277492
0.86,2259150.0129418764
0.865,2259800.463586354
0.87,2260450.3757578316
0.875,2261099.752888482
0.88,2261748.5983277382
0.885,2262396.915342398
0.89,2263044.7071423554
0.895,2263691.976894826
0.9,2264338.7277247803
0.905,2264984.9627117063
0.91,2265630.684888756
0.915,2266275.897244298
0.92,2266920.6027241074
0.925,2267564.804232868
0.93,2268208.504635701
0.935,2268851.706759257
0.9400000000000001,2269494.413392687
0.9450000000000001,2270136.627288857
0.9500000000000001,2270778.351165681
0.9550000000000001,2271419.5877073864
0.9600000000000001,2272060.3395656184
0.965,2272700.6093605743
0.97,2273340.3996821307
0.975,2273979.713090968
0.98,2274618.5521197105
0.985,2275256.919273983
0.99,2275894.8170334822
0.995,2276532.247853033
1,2277169.2141636214
