% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:47"
% Table,Table 6 - CvG10_avg_HT0_5Aa (CvG10_avg_HT0_5Aa)
% Time (s),CvG10_avg_HT0_5Aa (J/(m^3*K))
0,1205.4527525741516
1.0E-5,12411.497982546349
2.0E-5,18399.738999307796
3.0000000000000004E-5,22939.62399586604
4.0E-5,26701.285555756698
5.0E-5,29993.80040133107
6.000000000000001E-5,32914.73569756455
7.000000000000001E-5,35546.36216327105
8.0E-5,37949.22707729344
9.0E-5,40156.85083456719
1.0E-4,42207.63611805226
1.1E-4,44130.480134351805
1.2000000000000002E-4,45944.92515954812
1.3000000000000002E-4,47664.74787673531
1.4000000000000001E-4,49300.61060239584
1.5000000000000001E-4,50861.34940463827
1.6E-4,52354.495545848964
1.7E-4,53786.51334720069
1.8E-4,55163.10441399891
1.9E-4,56489.0337245994
2.0E-4,57768.37697253043
2.1E-4,59004.738972203646
2.2E-4,60201.34942525233
2.3E-4,61361.08656292615
2.4000000000000003E-4,62486.50957841453
2.5E-4,63579.901420952236
2.6000000000000003E-4,64643.31153556346
2.7E-4,65678.59051328791
2.8000000000000003E-4,66687.41623591702
2.9E-4,67671.3145279002
3.0000000000000003E-4,68631.67679464344
3.1E-4,69569.77558272178
3.2E-4,70486.77817194721
3.3000000000000005E-4,71383.75825411874
3.4E-4,72261.70593249289
3.5000000000000005E-4,73121.53635408507
3.6E-4,73964.09723892782
3.7000000000000005E-4,74790.17548884367
3.8E-4,75600.5030036895
3.9000000000000005E-4,76476.16539441475
4.0E-4,77409.40398674541
4.1000000000000005E-4,78345.40823644375
4.2E-4,79263.25425264685
4.3000000000000004E-4,80159.44054383393
4.4E-4,81037.89953754224
4.5000000000000004E-4,81900.37117924928
4.6E-4,82747.83157362363
4.7000000000000004E-4,83580.97704529963
4.8000000000000007E-4,84400.38849436522
4.900000000000001E-4,85206.58823337655
5.0E-4,86000.06057306481
5.1E-4,86781.26009917137
5.200000000000001E-4,87550.61569221382
5.300000000000001E-4,88308.53300608568
5.4E-4,89055.39632889387
5.5E-4,89791.63508799099
5.600000000000001E-4,90518.00012405556
5.700000000000001E-4,91234.9230761514
5.8E-4,91942.72111476358
5.9E-4,92641.66602102038
6.000000000000001E-4,93332.00768706322
6.100000000000001E-4,94013.98232623863
6.2E-4,94687.8155419324
6.3E-4,95353.72365599767
6.4E-4,96011.91443706412
6.500000000000001E-4,96662.58761166838
6.600000000000001E-4,97305.93528743957
6.7E-4,97942.10603907787
6.8E-4,98571.29331677458
6.900000000000001E-4,99193.6840906255
7.000000000000001E-4,99809.45079545277
7.1E-4,100418.75441576756
7.2E-4,101021.74820978144
7.300000000000001E-4,101618.57970824595
7.400000000000001E-4,102209.39145528823
7.5E-4,102794.32124013602
7.6E-4,103373.502224111
7.700000000000001E-4,103947.06308818783
7.800000000000001E-4,104515.12820794873
7.9E-4,105077.81783727836
8.0E-4,105635.248287624
8.100000000000001E-4,106187.53209798629
8.200000000000001E-4,106734.77819520941
8.300000000000001E-4,107277.09204545814
8.4E-4,107814.57579778931
8.500000000000001E-4,108347.32842048105
8.600000000000001E-4,108875.44583057443
8.700000000000001E-4,109399.0210170331
8.8E-4,109918.14415787575
8.900000000000001E-4,110432.90273160968
9.000000000000001E-4,110943.38162327424
9.100000000000001E-4,111449.66322542926
9.2E-4,111951.82753432292
9.3E-4,112449.95224155475
9.400000000000001E-4,112944.11282143086
9.500000000000001E-4,113434.38261429276
9.600000000000001E-4,113920.83290600048
9.7E-4,114403.53300380228
9.800000000000002E-4,114882.55030876209
9.9E-4,115357.95038494414
0.001,115829.79702551774
0.00101,116298.15231593825
0.00102,116763.07669436482
0.00103,117224.62900944852
0.0010400000000000001,117682.86657563121
0.0010500000000000002,118137.84542160144
0.0010600000000000002,118589.61992407314
0.00107,119038.24298218447
0.00108,119483.7662047862
0.00109,119926.23997588443
0.0011,120365.7134577095
0.00111,120802.23460064663
0.0011200000000000001,121235.85017696358
0.0011300000000000001,121666.60582490607
0.0011400000000000002,122094.54608602078
0.0011500000000000002,122519.71444864963
0.00116,122942.15337999702
0.00117,123361.9043524802
