% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 3 - Cv_avg_HT0_5Aa (Cv_avg_HT0_5Aa)
% Time (s),Cv_avg_HT0_5Aa (J/(m^3*K))
0.0037600000000000003,357900.38422790356
0.0037700000000000003,358536.3552432028
0.0037800000000000004,359171.4837906938
0.0037900000000000004,359805.7729720327
0.0038000000000000004,360439.2258691845
0.0038100000000000005,361071.84554436407
0.0038200000000000005,361703.6350405219
0.0038300000000000005,362334.59738120553
0.0038400000000000005,362964.7355709982
0.00385,363594.05259552115
0.00386,364222.55142164475
0.00387,364850.2349976932
0.00388,365477.10625358595
0.0038900000000000002,366103.1681009774
0.0039000000000000003,366728.4234334559
0.00391,367352.87512673374
0.003920000000000001,367976.5260386934
0.00393,368599.37900956004
0.00394,369221.43686230114
0.00395,369842.7024023853
0.00396,370463.17841830134
0.0039700000000000004,371082.8676813389
0.00398,371701.77294615
0.0039900000000000005,372319.8969505354
0.004,372937.2424157976
0.0040100000000000005,373553.81204677373
0.00402,374169.60853209795
0.004030000000000001,374784.6345442129
0.00404,375398.89273956185
0.004050000000000001,376012.3857587518
0.00406,376625.11622664065
0.004070000000000001,377237.0867525247
0.00408,377848.29993016686
0.004090000000000001,378458.75833808153
0.0041,379068.4645395253
0.00411,379677.4210826745
0.00412,380285.63050078676
0.00413,380893.09531231975
0.0041400000000000005,381499.8180210014
0.00415,382105.80111590313
0.0041600000000000005,382711.0470717845
0.00417,383315.5583489838
0.0041800000000000006,383919.3373936173
0.00419,384522.3866376938
0.004200000000000001,385124.70849930303
0.00421,385726.3053825441
0.004220000000000001,386327.17967790854
0.00423,386927.33376210084
0.004240000000000001,387526.7699984123
0.00425,388125.4907365543
0.004260000000000001,388723.4983130492
0.00427,389320.7950512126
0.00428,389917.38326119084
0.00429,390513.2652401534
0.0043,391108.4432723715
0.0043100000000000005,391702.9196293279
0.00432,392296.6965698571
0.0043300000000000005,392889.77634016593
0.00434,393482.16117392393
0.004350000000000001,394073.8532925489
0.00436,394664.8549050238
0.004370000000000001,395255.1682082012
0.00438,395844.7953868715
0.004390000000000001,396433.73861375183
0.0044,397022.0000497308
0.004410000000000001,397609.5818437109
0.00442,398196.48613311216
0.004430000000000001,398782.7150435729
0.00444,399368.2706891336
0.00445,399953.1551725498
0.00446,400537.3705851042
0.00447,401120.91900675104
0.0044800000000000005,401703.80250641477
0.00449,402286.0231417608
0.0045000000000000005,402867.58295952115
0.00451,403448.48399541597
0.004520000000000001,404028.72827440535
0.00453,404608.31781059905
0.004540000000000001,405187.254607471
0.00455,405765.54065790074
0.004560000000000001,406343.1779441285
0.00457,406920.1684380361
0.004580000000000001,407496.51410110435
0.00459,408072.2168846019
0.004600000000000001,408647.2787294665
0.00461,409221.7015665475
0.00462,409795.48731660063
0.0046300000000000004,410368.63789042004
0.00464,410941.1551889147
0.0046500000000000005,411513.0411030464
0.00466,412084.29751413624
0.0046700000000000005,412654.92629372404
0.00468,413224.9293036985
0.004690000000000001,413794.3083965222
0.0047,414363.0654149993
0.004710000000000001,414931.2021926218
0.00472,415498.72055354674
0.004730000000000001,416065.6223126051
0.00474,416631.9092753898
0.004750000000000001,417197.58323835244
0.00476,417762.6459889678
0.004770000000000001,418327.09930559143
0.00478,418890.9449576253
0.00479,419454.18470562843
0.0048000000000000004,420016.8203013325
0.00481,420578.85348768596
0.0048200000000000005,421140.2859989289
0.00483,421701.1195606828
0.0048400000000000006,422261.35589004046
0.00485,422820.9966954849
0.004860000000000001,423380.0436771096
0.00487,423938.498526615
0.004880000000000001,424496.3629273313
0.00489,425053.6385543313
0.004900000000000001,425610.3270744682
0.00491,426166.43014644756
0.004920000000000001,426721.94942080684
0.00493,427276.88654010725
0.004940000000000001,427831.24313889316
0.00495,428385.02084379003
0.00496,428938.22127349686
0.0049700000000000005,429490.8460388874
0.00498,430042.8967430966
0.0049900000000000005,430594.37498154276
0.005,431145.2823419172
0.005,431145.2823419172
0.01,656351.9263809761
0.015,823644.6030856876
0.02,957134.8568953433
0.025,1068534.373071676
0.030000000000000002,1164476.0741173504
0.034999999999999996,1248695.3586222464
0.04,1323415.9550540594
0.045,1390174.276800447
0.049999999999999996,1450163.4722093178
0.055,1504359.4183543483
0.06,1553576.777532765
0.065,1598506.7501393293
0.07,1639747.47997697
0.07500000000000001,1677827.9788458918
0.08,1713225.9929109372
0.085,1746380.9630091393
0.09000000000000001,1777703.354466002
0.095,1807581.357081456
0.1,1836385.6301848155
0.10500000000000001,1864472.5286111801
0.11,1892186.0995256307
0.115,1919859.057715795
0.12000000000000001,1942296.629511325
0.125,1965391.2989764388
0.13,1987537.854246905
0.135,2008798.4446843888
0.14,2029230.0753423113
0.14500000000000002,2048885.1295334904
0.15,2067811.6382806487
0.155,2086053.636925326
0.16,2103651.5705483397
0.165,2120642.683897628
0.17,2137061.366436748
0.17500000000000002,2152939.4493794153
0.18000000000000002,2168306.5152881704
0.185,2183189.9978703954
0.19,2197615.421326236
0.195,2211606.611389015
0.2,2225185.8483898924
0.20500000000000002,2238373.9877760597
0.21000000000000002,2251190.570291702
0.215,2263653.926805549
0.22,2275781.2747669267
0.225,2287588.8041573167
0.23,2299091.753606189
0.23500000000000001,2310304.4784743856
0.24000000000000002,2321240.5123764435
0.245,2331912.6229926576
0.25,2342332.8627161263
0.255,2352512.6146255196
0.26,2362462.6342855473
0.265,2372193.0878442507
0.27,2381713.5868345764
0.275,2391033.220025834
0.28,2400160.582266883
0.28500000000000003,2409103.801995579
0.29000000000000004,2417870.5658979723
0.295,2426468.141215544
0.3,2434903.396557877
0.305,2443182.8214470115
0.31,2451312.5444257893
0.315,2459298.3496983186
0.32,2467145.6925079166
0.325,2474859.7134778146
0.33,2482445.2520181746
0.335,2489906.8588313786
0.34,2497248.807565305
0.34500000000000003,2504475.1056985464
0.35000000000000003,2511589.5047401437
0.35500000000000004,2518595.509799625
0.36,2525496.388570393
0.365,2532295.1797669535
0.37,2538994.7010612697
0.375,2545597.556558822
0.38,2552106.1438477137
0.385,2558522.6606514123
0.39,2564849.1111118174
0.395,2571087.3117285287
0.4,2577238.8969782256
