% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 4 - CvCu_avg_HT0_5Aa (CvCu_avg_HT0_5Aa)
% Time (s),CvCu_avg_HT0_5Aa (J/(m^3*K))
0,409.5296313707657
1.0E-5,2512.4471185333327
2.0E-5,4066.4072860241836
3.0000000000000004E-5,5469.533827599117
4.0E-5,6779.909105704895
5.0E-5,8036.301226818836
6.000000000000001E-5,9287.029872806575
7.000000000000001E-5,10532.119254708332
8.0E-5,11772.627014377722
9.0E-5,13003.601279837389
1.0E-4,14228.4138942283
1.1E-4,15450.229428129078
1.2000000000000002E-4,16670.136270132003
1.3000000000000002E-4,17887.925536297946
1.4000000000000001E-4,19103.017198516296
1.5000000000000001E-4,20314.901070115164
1.6E-4,21523.225576177112
1.7E-4,22727.757703290223
1.8E-4,23928.456500883458
1.9E-4,25125.17157063116
2.0E-4,26317.7160913561
2.1E-4,27505.962259486303
2.2E-4,28689.85596530285
2.3E-4,29869.376433642257
2.4000000000000003E-4,31044.511724765325
2.5E-4,32215.253145250113
2.6000000000000003E-4,33381.598484601425
2.7E-4,34543.55444929668
2.8000000000000003E-4,35701.135932535486
2.9E-4,36854.36386687937
3.0000000000000003E-4,38003.263463687734
3.1E-4,39147.863286845226
3.2E-4,40288.194789550405
3.3000000000000005E-4,41424.291923503806
3.4E-4,42556.19070058162
3.5000000000000005E-4,43683.92875708697
3.6E-4,44807.5449818601
3.7000000000000005E-4,45927.07922040751
3.8E-4,47042.572035707904
3.9000000000000005E-4,48267.366729515394
4.0E-4,49594.945593449265
4.1000000000000005E-4,50949.6410306132
4.2E-4,52300.717365406206
4.3000000000000004E-4,53641.66961256987
4.4E-4,54977.06156103425
4.5000000000000004E-4,56308.434349846335
4.6E-4,57636.29620394822
4.7000000000000004E-4,58960.805831699385
4.8000000000000007E-4,60282.005541378894
4.900000000000001E-4,61599.900516266294
5.0E-4,62914.48559254509
5.1E-4,64225.754153007256
5.200000000000001E-4,65533.7009472347
5.300000000000001E-4,66838.32286379249
5.4E-4,68139.61902412103
5.5E-4,69437.70583441685
5.600000000000001E-4,70733.31657575104
5.700000000000001E-4,72026.67101298778
5.8E-4,73317.81756521981
5.9E-4,74606.74934136665
6.000000000000001E-4,75893.44326331685
6.100000000000001E-4,77177.87311756029
6.2E-4,78460.01378444236
6.3E-4,79739.84249374122
6.4E-4,81017.33908793544
6.500000000000001E-4,82292.4859632309
6.600000000000001E-4,83565.26791406385
6.7E-4,84835.59915043584
6.8E-4,86103.49806837825
6.900000000000001E-4,87368.98626204889
7.000000000000001E-4,88632.0711196777
7.1E-4,89892.75072696373
7.2E-4,91151.02046953107
7.300000000000001E-4,92406.87640607059
7.400000000000001E-4,93660.31618629713
7.5E-4,94911.3389645138
7.6E-4,96159.9451209571
7.700000000000001E-4,97406.13605109778
7.800000000000001E-4,98649.91403976781
