% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:47"
% Table,Table 7 - k_avg_HT0_5Aa (k_avg_HT0_5Aa)
% Time (s),k_avg_HT0_5Aa (W/(m*K))
0,656.9799278783288
1.0E-5,1552.8207508109765
2.0E-5,1856.9710468120948
3.0000000000000004E-5,2056.49803478525
4.0E-5,2205.3780376365944
5.0E-5,2324.56846722232
6.000000000000001E-5,2422.04018382293
7.000000000000001E-5,2503.3908021145803
8.0E-5,2572.4129457570493
9.0E-5,2631.4605603044124
1.0E-4,2682.605181749854
1.1E-4,2727.3443527680365
1.2000000000000002E-4,2766.7333354387465
1.3000000000000002E-4,2801.555855192924
1.4000000000000001E-4,2832.4305571805357
1.5000000000000001E-4,2859.864577851243
1.6E-4,2884.2809421256716
1.7E-4,2906.0355640573966
1.8E-4,2925.4318327535143
1.9E-4,2942.7260353311763
2.0E-4,2958.137773777721
2.1E-4,2971.8578097418876
2.2E-4,2984.052939984887
2.3E-4,2994.8693337572263
2.4000000000000003E-4,3004.4355146235275
2.5E-4,3012.8649998621077
2.6000000000000003E-4,3020.2585242966843
2.7E-4,3026.7058513118945
2.8000000000000003E-4,3032.287250770785
2.9E-4,3037.0747296713953
3.0000000000000003E-4,3041.133074014071
3.1E-4,3044.520736705585
3.2E-4,3047.2905956978375
3.3000000000000005E-4,3049.4906030231587
3.4E-4,3051.1643429551877
3.5000000000000005E-4,3052.351514494054
3.6E-4,3053.0883503410587
3.7000000000000005E-4,3053.4079821125124
3.8E-4,3053.340759783301
3.9000000000000005E-4,3052.851819383024
4.0E-4,3051.8638620994407
4.1000000000000005E-4,3050.3990849772044
4.2E-4,3048.5117418148448
4.3000000000000004E-4,3046.2474002795684
4.4E-4,3043.632406897198
4.5000000000000004E-4,3040.692422496379
4.6E-4,3037.4518732343167
4.7000000000000004E-4,3033.9336316659615
4.8000000000000007E-4,3030.158941396599
4.900000000000001E-4,3026.147467445517
5.0E-4,3021.9173962357613
5.1E-4,3017.4855487568407
5.200000000000001E-4,3012.8674918271104
5.300000000000001E-4,3008.0776420671496
5.4E-4,3003.129361178424
5.5E-4,2998.034583880692
5.600000000000001E-4,2992.801787550947
5.700000000000001E-4,2987.4404987921816
5.8E-4,2981.960185748206
5.9E-4,2976.36989542408
6.000000000000001E-4,2970.678154083713
6.100000000000001E-4,2964.892958438211
6.2E-4,2959.021796766768
6.3E-4,2953.0716786807357
6.4E-4,2947.0491662094105
6.500000000000001E-4,2940.9604037860367
6.600000000000001E-4,2934.811146417089
6.7E-4,2928.6071432856907
6.8E-4,2922.353312194427
6.900000000000001E-4,2916.0542414733377
7.000000000000001E-4,2909.714298668014
7.1E-4,2903.3376283172547
7.2E-4,2896.928137871561
7.300000000000001E-4,2890.489497216097
7.400000000000001E-4,2884.0251489736643
7.5E-4,2877.5383227922857
7.6E-4,2871.032049681253
7.700000000000001E-4,2864.509175134555
7.800000000000001E-4,2857.972371002345
7.9E-4,2851.4241463608814
8.0E-4,2844.866857585104
8.100000000000001E-4,2838.3027177386725
8.200000000000001E-4,2831.7338053437184
8.300000000000001E-4,2825.162072573132
8.4E-4,2818.5893529033015
8.500000000000001E-4,2812.0173682641007
8.600000000000001E-4,2805.4477357217997
8.700000000000001E-4,2798.8819737279937
8.8E-4,2792.321507965722
8.900000000000001E-4,2785.7676768210476
9.000000000000001E-4,2779.2217365064357
9.100000000000001E-4,2772.6848658601375
9.2E-4,2766.1581708439858
9.3E-4,2759.642688760233
9.400000000000001E-4,2753.1393922066904
9.500000000000001E-4,2746.649192787812
9.600000000000001E-4,2740.172944598179
9.7E-4,2733.711447493655
9.800000000000002E-4,2727.265450164224
9.9E-4,2720.8356530217475
0.001,2714.422710914647
0.00101,2708.027235680861
0.00102,2701.6497985496503
0.00103,2695.290932401814
0.0010400000000000001,2688.951133897482
0.0010500000000000002,2682.6308627585154
0.0010600000000000002,2676.330549428951
0.00107,2670.050595149613
0.00108,2663.791371677053
0.00109,2657.5532225570323
0.0011,2651.33646516146
0.00111,2645.141392531124
0.0011200000000000001,2638.9682747848533
0.0011300000000000001,2632.8173602848906
0.0011400000000000002,2626.6888768062604
0.0011500000000000002,2620.5830325305838
0.00116,2614.5000171212823
0.00117,2608.4400028048135
0.00118,2602.403145340879
0.00119,2596.38958488238
0.0012000000000000001,2590.3994467901584
0.0012100000000000001,2584.4328424340915
0.0012200000000000002,2578.489869963817
0.0012300000000000002,2572.570615028813
0.00124,2566.675151449502
0.00125,2560.8035418530626
0.00126,2554.955838280947
0.00127,2549.1320827664476
0.00128,2543.332307880167
0.0012900000000000001,2537.5565372451015
0.0013000000000000002,2531.8047860248066
0.0013100000000000002,2526.0770613872082
0.0013200000000000002,2520.373362944709
0.00133,2514.693683171164
0.00134,2509.0380077970963
0.00135,2503.40631618454
0.00136,2497.7985816829246
0.0013700000000000001,2492.2147719667446
0.0013800000000000002,2486.654849356033
0.0013900000000000002,2481.1187711204198
0.0014000000000000002,2475.6064897677793
0.00141,2470.11795331831
0.00142,2464.6531055647924
0.00143,2459.2118863197093
0.00144,2453.7942316499
0.0014500000000000001,2448.400074099475
0.0014600000000000001,2443.0293429015546
0.0014700000000000002,2437.6819641794104
0.0014800000000000002,2432.357861137553
0.0014900000000000002,2427.056954243309
0.0015,2421.779161399306
0.00151,2416.52439810746
0.00152,2411.2925776246916
0.0015300000000000001,2406.0836111110625
0.0015400000000000001,2400.897407770379
0.0015500000000000002,2395.7338749840164
0.0015600000000000002,2390.592918437938
0.0015700000000000002,2385.47444224352
0.00158,2380.3783490523974
0.00159,2375.304540165544
0.0016,2370.252915637032
0.00161,2365.223374372565
0.0016200000000000001,2360.215814223218
0.0016300000000000002,2355.230132074447
0.0016400000000000002,2350.2662239307324
0.0016500000000000002,2345.3239849959728
0.0016600000000000002,2340.4033097499073
0.00167,2335.504092020722
0.00168,2330.626225054018
0.00169,2325.7696015783663
0.0017000000000000001,2320.9341138675113
0.0017100000000000001,2316.1196537995497
0.0017200000000000002,2311.3261129129846
0.0017300000000000002,2306.5533824601303
0.0017400000000000002,2301.8013534576703
0.00175,2297.0699167346743
0.00176,2292.3589629782364
0.00177,2287.668382776658
0.0017800000000000001,2282.9980666605657
0.0017900000000000001,2278.3479051417326
0.0018000000000000002,2273.7177887500493
0.0018100000000000002,2269.1076080684024
0.0018200000000000002,2264.5172537659155
0.0018300000000000002,2259.9466166292236
0.00184,2255.395587592292
0.00185,2250.8640577644755
0.00186,2246.351918457173
